,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position,macd,signal,macd_signal,macd_position,RSI,rsi_signal,rsi_position
2019-09-03 09:30:00-04:00,62.959999084472656,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0,1
2019-09-03 10:30:00-04:00,62.31999969482422,0.0,0.0,0,1,-0.0510540823651197,-0.0102108164730239,-1,0,0.0,0,1
2019-09-03 11:30:00-04:00,62.0,0.0,0.0,0,1,-0.1159989478238827,-0.0313684427431957,0,0,0.0,0,1
2019-09-03 12:30:00-04:00,61.774898529052734,0.0,0.0,0,1,-0.1835165643378076,-0.0617980670621181,0,0,0.0,0,1
2019-09-03 13:30:00-04:00,61.36000061035156,0.0,0.0,0,1,-0.2674208948438235,-0.1029226326184591,0,0,0.0,0,1
2019-09-03 14:30:00-04:00,61.125,0.0,0.0,0,1,-0.3488568617943173,-0.1521094784536308,0,0,0.0,0,1
2019-09-03 15:30:00-04:00,61.13999938964844,0.0,0.0,0,1,-0.4074878605238083,-0.2031851548676663,0,0,0.2084774765302768,0,1
2019-09-04 09:30:00-04:00,61.93000030517578,0.0,0.0,0,1,-0.3857600758336375,-0.2397001390608605,0,0,10.760918290411212,0,1
2019-09-04 10:30:00-04:00,62.02000045776367,0.0,0.0,0,1,-0.357161257128233,-0.2631923626743351,0,0,11.903840278305168,0,1
2019-09-04 11:30:00-04:00,61.41999816894531,0.0,0.0,0,1,-0.3785479919271495,-0.286263488524898,0,0,10.901443106745134,0,1
2019-09-04 12:30:00-04:00,61.07500076293945,0.0,0.0,0,1,-0.4185112040928231,-0.3127130316384831,0,0,10.36117496976172,0,1
2019-09-04 13:30:00-04:00,61.11000061035156,0.0,0.0,0,1,-0.4422600439835804,-0.3386224341075026,0,0,10.843912837046275,0,1
2019-09-04 14:30:00-04:00,61.040000915527344,0.0,0.0,0,1,-0.4614107056619261,-0.3631800884183873,0,0,10.719573825429933,0,1
2019-09-04 15:30:00-04:00,61.08000183105469,0.0,0.0,0,1,-0.4679655874400765,-0.3841371882227252,0,0,11.34515308984723,0,1
2019-09-05 09:30:00-04:00,63.08250045776367,0.0,0.0,0,1,-0.3080247572160886,-0.3689147020213978,1,1,35.65279203114369,0,1
2019-09-05 10:30:00-04:00,62.67900085449219,0.0,0.0,0,1,-0.2113927388432728,-0.3374103093857729,0,1,33.65067421108655,0,1
2019-09-05 11:30:00-04:00,62.45280075073242,0.0,0.0,0,1,-0.1513193112004671,-0.3001921097487117,0,1,32.54724447747819,0,1
2019-09-05 12:30:00-04:00,62.83000183105469,0.0,0.0,0,1,-0.0724386841474853,-0.2546414246284664,0,1,36.298408111009934,0,1
2019-09-05 13:30:00-04:00,62.95500183105469,0.0,0.0,0,1,0.0001593989754766,-0.2036812599076778,0,1,37.538070647903616,0,1
2019-09-05 14:30:00-04:00,63.150001525878906,0.0,0.0,0,1,0.0725919537275885,-0.1484266171806245,0,1,39.51552165750285,0,1
2019-09-05 15:30:00-04:00,63.04499816894531,0.0,0.0,0,1,0.1201375114135743,-0.0947137914617848,0,1,38.80314255243087,0,1
