Datetime,Close,ao,ao_signal,ao_position
2019-09-09 15:30:00-04:00,61.45000076293945,-1.3351040223065525,-1,0
2019-09-10 09:30:00-04:00,61.380001068115234,-1.2790745791267,0,0
2019-09-10 10:30:00-04:00,61.207298278808594,-1.0823637569651865,0,0
2019-09-10 11:30:00-04:00,61.38999938964844,-0.7730363621431238,0,0
2019-09-10 12:30:00-04:00,61.15800094604492,-0.5708256328807124,0,0
2019-09-10 13:30:00-04:00,60.58000183105469,-0.6170402302461468,0,0
2019-09-10 14:30:00-04:00,60.4900016784668,-0.7754665935740732,0,0
2019-09-10 15:30:00-04:00,60.5,-0.9046081542968736,0,0
2019-09-11 09:30:00-04:00,60.45000076293945,-1.0252201977898068,0,0
2019-09-11 10:30:00-04:00,59.97999954223633,-1.192755519642546,0,0
2019-09-11 11:30:00-04:00,60.22999954223633,-1.3119529499727136,0,0
2019-09-11 12:30:00-04:00,60.201499938964844,-1.350016560274014,0,0
2019-09-11 13:30:00-04:00,59.69340133666992,-1.4263633615830358,0,0
2019-09-11 14:30:00-04:00,59.014198303222656,-1.6004210752599377,0,0
2019-09-11 15:30:00-04:00,59.18000030517578,-1.7362320731667893,0,0
2019-09-12 09:30:00-04:00,58.959598541259766,-1.831185296002559,0,0
2019-09-12 10:30:00-04:00,58.560001373291016,-2.0104311101576826,0,0
2019-09-12 11:30:00-04:00,58.310001373291016,-2.1892033184275874,0,0
2019-09-12 12:30:00-04:00,58.2400016784668,-2.269154144735893,0,0
2019-09-12 13:30:00-04:00,58.0,-2.319500283633957,0,0
2019-09-12 14:30:00-04:00,58.095001220703125,-2.375430656881889,0,0
2019-09-12 15:30:00-04:00,57.790000915527344,-2.3847728504854047,0,0
2019-09-13 09:30:00-04:00,58.22999954223633,-2.318653959386488,0,0
2019-09-13 10:30:00-04:00,58.279998779296875,-2.179329412123735,0,0
2019-09-13 11:30:00-04:00,58.7599983215332,-1.9638004078584501,0,0
2019-09-13 12:30:00-04:00,58.483699798583984,-1.725661524604348,0,0
2019-09-13 13:30:00-04:00,58.1349983215332,-1.5296992245842418,0,0
2019-09-13 14:30:00-04:00,58.290000915527344,-1.3736111023846789,0,0
2019-09-13 15:30:00-04:00,58.31999969482422,-1.2596402897554242,0,0
2019-09-16 09:30:00-04:00,57.529998779296875,-1.2679048201617036,0,0
2019-09-16 10:30:00-04:00,58.02510070800781,-1.332722013136923,0,0
2019-09-16 11:30:00-04:00,58.14889907836914,-1.3080594904282563,0,0
2019-09-16 12:30:00-04:00,59.494998931884766,-1.1562681085923145,0,0
2019-09-16 13:30:00-04:00,59.470001220703125,-0.8965446023380039,0,0
2019-09-16 14:30:00-04:00,59.31999969482422,-0.5507796455832121,0,0
2019-09-16 15:30:00-04:00,59.25,-0.18664253459257196,0,0
2019-09-17 09:30:00-04:00,59.65999984741211,0.14103540532729397,1,1
2019-09-17 10:30:00-04:00,59.529998779296875,0.3457528058220305,0,1
2019-09-17 11:30:00-04:00,59.63999938964844,0.41592910990995335,0,1
2019-09-17 12:30:00-04:00,59.40999984741211,0.48145840588738054,0,1
2019-09-17 13:30:00-04:00,59.349998474121094,0.5344289330875185,0,1
2019-09-17 14:30:00-04:00,59.54999923706055,0.5641640719245515,0,1
2019-09-17 15:30:00-04:00,59.540000915527344,0.5815171746646683,0,1
2019-09-18 09:30:00-04:00,59.77000045776367,0.6119880676269531,0,1
2019-09-18 10:30:00-04:00,59.41999816894531,0.6409880133236143,0,1
2019-09-18 11:30:00-04:00,59.27000045776367,0.6595983505249023,0,1
2019-09-18 12:30:00-04:00,59.165000915527344,0.6345678329467788,0,1
2019-09-18 13:30:00-04:00,58.9900016784668,0.5491945042329647,0,1
2019-09-18 14:30:00-04:00,59.540000915527344,0.4662563323974638,0,1
2019-09-18 15:30:00-04:00,59.72999954223633,0.4576329623951665,0,1
2019-09-19 09:30:00-04:00,59.75,0.507803647658406,0,1
2019-09-19 10:30:00-04:00,59.709999084472656,0.572215237336998,0,1
2019-09-19 11:30:00-04:00,58.77109909057617,0.5764263377470158,0,1
2019-09-19 12:30:00-04:00,58.7599983215332,0.45754911759321004,0,1
2019-09-19 13:30:00-04:00,58.86009979248047,0.27013098772834354,0,1
2019-09-19 14:30:00-04:00,58.900001525878906,0.07056617736816406,0,1
2019-09-19 15:30:00-04:00,59.029998779296875,-0.11052193361170026,-1,0
2019-09-20 09:30:00-04:00,58.279998779296875,-0.2393966899198645,0,0
2019-09-20 10:30:00-04:00,57.685001373291016,-0.3801976372213929,0,0
2019-09-20 11:30:00-04:00,57.41999816894531,-0.6002560447244107,0,0
2019-09-20 12:30:00-04:00,57.34000015258789,-0.8729325238396086,0,0
2019-09-20 13:30:00-04:00,57.45000076293945,-1.1628883698407364,0,0
2019-09-20 14:30:00-04:00,57.88010025024414,-1.3420559714822176,0,0
2019-09-20 15:30:00-04:00,57.83000183105469,-1.365488478716678,0,0
2019-09-23 09:30:00-04:00,56.650001525878906,-1.4121778600356123,0,0
2019-09-23 10:30:00-04:00,56.790000915527344,-1.5039716047399168,0,0
2019-09-23 11:30:00-04:00,57.0,-1.5472966474645276,0,0
2019-09-23 12:30:00-04:00,56.689998626708984,-1.6337333342608247,0,0
2019-09-23 13:30:00-04:00,56.6599006652832,-1.7897521187277405,0,0
2019-09-23 14:30:00-04:00,56.7598991394043,-1.8200342402738698,0,0
2019-09-23 15:30:00-04:00,56.75,-1.7336313247680692,0,0
2019-09-24 09:30:00-04:00,56.790000915527344,-1.6755431231330462,0,0
2019-09-24 10:30:00-04:00,57.70000076293945,-1.5267193401561059,0,0
2019-09-24 11:30:00-04:00,56.25,-1.391709215500775,0,0
2019-09-24 12:30:00-04:00,56.20000076293945,-1.3958950379315525,0,0
2019-09-24 13:30:00-04:00,57.09000015258789,-1.335384907441977,0,0
2019-09-24 14:30:00-04:00,56.86000061035156,-1.2187966963824124,0,0
2019-09-24 15:30:00-04:00,57.529998779296875,-1.1564439549165613,0,0
2019-09-25 09:30:00-04:00,57.25,-1.008591214348293,0,0
